Ime,Starost,Poklic,Rojstni dan
Kylie Jenner,26,Reality Star,10-08
Asia Monet Ray,18,Instagram Star,10-08
Ja Morant,24,Basketball Player,10-08
Gordan Ramsey Gaming,30,YouTube Star,10-08
Sunny Suljic,18,Movie Actor,10-08
Liv Pearsall,24,TikTok Star,10-08
Michelle Khare,31,YouTube Star,10-08
Lucas Till,33,TV Actor,10-08
Life with MaK,18,YouTube Star,10-08
June Shannon,44,Reality Star,10-08
Maxmoefoe,30,YouTube Star,10-08
Reese Herron,12,Instagram Star,10-08
Sophia Smith,23,Soccer Player,10-08
Rhianna Abrey,26,Pop Singer,10-08
Regal Noise,33,TikTok Star,10-08
Antonio Banderas,63,Movie Actor,10-08
Devon Aoki,41,Model,10-08
Michael Dapaah,32,YouTube Star,10-08
Ryatt Talbott,7,YouTube Star,10-08
Lucy Maxwell,40,YouTube Star,10-08
Adam Foote,39,Drummer,10-08
Kyahnextdoor,23,TikTok Star,10-08
Brenton Thwaites,34,Movie Actor,10-08
Jacob Latimore,27,R&B Singer,10-08
Jake Stone,38,TV Actor,10-08
Sam Vicchiollo,23,TikTok Star,10-08
Maci Bookout,32,Reality Star,10-08
Jeremy Maguire,12,TV Actor,10-08
Taylor Giavasis,26,Instagram Star,10-08
August Jacob Howard,11 months,Family Member,10-08
Ben Herman,21,TikTok Star,10-08
Bernardo Silva,29,Soccer Player,10-08
Roy Keane,52,Soccer Player,10-08
Suzanne Collins,61,Young Adult Author,10-08
Stephanie Lange,34,YouTube Star,10-08
Joanna Garcia,44,TV Actress,10-08
Drew Lynch,32,Comedian,10-08
Fruitypoppin,23,TikTok Star,10-08
Brigette Lundy-Paine,29,TV Actor,10-08
Lexi Watts,13,YouTube Star,10-08
Sara Puhto,27,Instagram Star,10-08
Wade Barrett,43,Wrestler,10-08
Andre Drummond,30,Basketball Player,10-08
Rickey Smiley,55,Comedian,10-08
Taesan,19,Pop Singer,10-08
