Ime,Starost,Poklic,Rojstni dan
Bella Poarch,27,TikTok Star,09-02
Michael B. Jordan,37,Movie Actor,09-02
Tom Hiddleston,43,Movie Actor,09-02
Avan Jogia,32,TV Actor,09-02
DJ Prince,9,YouTube Star,09-02
Bob Reese,28,Freerunner,09-02
Jungwon,20,Pop Singer,09-02
Hannah Bahng,20,Pop Singer,09-02
Nas Daily,32,Facebook Star,09-02
Marco Hall,39,TikTok Star,09-02
Kelli Berglund,28,TV Actress,09-02
Ryan Lombard,26,TikTok Star,09-02
Jalen Green,22,Basketball Player,09-02
Sunjai Williams,27,Instagram Star,09-02
Eden Harvz,26,TikTok Star,09-02
Chloe Covell,14,Skateboarder,09-02
Isabella Gómez,26,TV Actress,09-02
Savannah Kristich,17,Dancer,09-02
Pilat,23,Twitch Star,09-02
Meeyinara,21,Instagram Star,09-02
James Sharp,23,TikTok Star,09-02
Joe Pesci,81,Movie Actor,09-02
Charlie Day,48,TV Actor,09-02
Johnny Suh,29,Rapper,09-02
Giulia Amato,21,TikTok Star,09-02
Lewis Sharp,23,TikTok Star,09-02
nycjalen,23,TikTok Star,09-02
Saquon Barkley,27,Football Player,09-02
Ting Ting,37,Pop Singer,09-02
Kendry Alonso,19,YouTube Star,09-02
Ashley Ortega,27,YouTube Star,09-02
Social Repose,34,Pop Singer,09-02
J2hundred,22,TikTok Star,09-02
Sage Bender,23,TikTok Star,09-02
Shilo Sanders,24,Football Player,09-02
Chung-ha Kim,28,Pop Singer,09-02
Drippiejay,23,TikTok Star,09-02
Carole King,82,Songwriter,09-02
Matty Cardarople,41,TV Actor,09-02
Sophia Smith,30,Instagram Star,09-02
Jules Randall,18,TikTok Star,09-02
Ashley Perkins,28,YouTube Star,09-02
Mia Farrow,79,Movie Actress,09-02
Flavy Barla,21,Instagram Star,09-02
GreenLegoCats,20,YouTube Star,09-02
Zhang Ziyi,45,Movie Actress,09-02
Eloise Mitchell,22,Instagram Star,09-02
