Ime,Starost,Poklic,Rojstni dan
Billy LeBlanc,44,YouTube Star,18-01
Karan Brar,25,Movie Actor,18-01
Anas Marwah,32,YouTube Star,18-01
K Elizabeth,14,YouTube Star,18-01
JamooTV,25,TikTok Star,18-01
Kay Donnelly,21,TikTok Star,18-01
Fred Liu,22,TikTok Star,18-01
Sarah Graysun,23,TikTok Star,18-01
Jabez Noel Villalobos,23,Instagram Star,18-01
Jonathan Davis,53,Metal Singer,18-01
Jordan Riki,24,Rugby Player,18-01
Eugene Lee Yang,38,YouTube Star,18-01
Pep Guardiola,53,Soccer Coach,18-01
Hunter Doohan,30,TV Actor,18-01
Dave Bautista,55,Wrestler,18-01
Montana Tucker,31,Pop Singer,18-01
Nathan Davis Jr,24,TV Actor,18-01
Kevin Costner,69,Movie Actor,18-01
TimTom,30,YouTube Star,18-01
Mason Fulp,26,Instagram Star,18-01
UDY,29,YouTube Star,18-01
Karan Aujla,26,Pop Singer,18-01
Jason Segel,44,TV Actor,18-01
Chinese Kitty,29,Instagram Star,18-01
Carlacia Grant,33,Movie Actress,18-01
Deanna Heath,25,TikTok Star,18-01
Sophia Reid-Gantzert,14,TV Actress,18-01
Madox Destyn,20,Pop Singer,18-01
Douglas Wreden,33,YouTube Star,18-01
Thomas Raggi,23,Guitarist,18-01
Estelle,44,R&B Singer,18-01
Aitana Bonmatí,26,Soccer Player,18-01
KS Ldn,21,YouTube Star,18-01
Maiya Cosentino,16,TikTok Star,18-01
Matt Hobby,39,TV Actor,18-01
Elliot Grihault,18,TV Actor,18-01
Ashleigh Murray,36,TV Actress,18-01
Tee Higgins,25,Football Player,18-01
Nay,29,YouTube Star,18-01
Lumi Pollack,15,Movie Actress,18-01
Kaleb Farrahandkaleb,12,TikTok Star,18-01
Fathia Kadir,21,TikTok Star,18-01
Jessica Carrasco,28,TikTok Star,18-01
Linda Sun,23,YouTube Star,18-01
Ramee,29,Twitch Star,18-01
Katheryn Balboa,16,YouTube Star,18-01
