Ime,Starost,Poklic,Rojstni dan
Matt Rife,28,Comedian,10-11
Katie Brueckner,26,YouTube Star,10-11
PaintingRainbows,31,Roblox Star,10-11
Jack Gilinsky,27,Pop Singer,10-11
Ian Gunther,24,Gymnast,10-11
Jack Grealish,28,Soccer Player,10-11
Sam Kerr,30,Soccer Player,10-11
Livvy Gomez,8,YouTube Star,10-11
MaddenMobileSlay,24,YouTube Star,10-11
Misty Copeland,41,Dancer,10-11
Mikey Way,43,Bassist,10-11
Kelsi Davies,26,Dancer,10-11
Joey Nero,21,TikTok Star,10-11
Alex Omar,17,TikTok Star,10-11
Josh Goldstein,27,Reality Star,10-11
Gomita,29,TV Show Host,10-11
Emma Kittiesmama,20,YouTube Star,10-11
Alli Fitz,30,Pop Singer,10-11
Colin Firth,63,Movie Actor,10-11
Sheck Wes,25,Rapper,10-11
Gali Mendoza,16,TikTok Star,10-11
NBA Ken,20,Instagram Star,10-11
Bryant Eslava,31,Instagram Star,10-11
Ruggero Pasquarelli,30,Pop Singer,10-11
Catherine Ashmore Bradley,16,Stage Actress,10-11
Konnor Jung,23,TikTok Star,10-11
Life W Bex,12,Instagram Star,10-11
Kamil McFadden,27,TV Actor,10-11
SeeDeng,27,Roblox Star,10-11
Nicole Rafiee,24,YouTube Star,10-11
Aaron Kyro,40,YouTube Star,10-11
Nick Casas,32,TikTok Star,10-11
Ryan Phillippe,49,Movie Actor,10-11
Carlos Durán,32,YouTube Star,10-11
MojoOnPC,24,YouTube Star,10-11
Ellise,25,Pop Singer,10-11
Gabriel Bateman,19,TV Actor,10-11
Dmitriy Shilov,26,TikTok Star,10-11
Emmy Perry,19,Movie Actress,10-11
Dennis Carroll,20,TikTok Star,10-11
JayC,29,Pop Singer,10-11
Annabel Beam,21,Ni poklica,10-11
Morray,30,Rapper,10-11
Big Daddy Kane,55,Rapper,10-11
Guy Ritchie,55,Director,10-11
Valeria Hernandez,19,TikTok Star,10-11
